ID,node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
184,10984,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
209,11500,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0
214,11385,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1
216,10787,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
217,11390,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
224,10279,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
226,10434,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
228,10775,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
233,11489,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0
239,11417,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
242,10896,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
257,11030,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
259,12692,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
260,11518,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0
260,11518,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0
268,11510,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0
268,11510,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0
271,11513,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0
273,2310,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
275,11517,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
277,11405,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0
278,11516,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0
279,11046,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
279,11046,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
282,12713,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0
284,12713,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0
284,12713,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0
285,11040,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
286,4622,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
292,11514,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0
292,11514,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0
295,11056,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
297,11395,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0
300,10270,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0
301,10270,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0
332,10917,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
333,10340,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0
337,11552,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0
345,11663,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
350,10801,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
353,11553,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0
356,11034,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
357,5097,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
357,5097,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
359,11529,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
370,11487,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
374,4906,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
374,4906,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
379,11879,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
380,11551,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0
381,10235,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0
382,11654,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
386,10221,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0
387,11642,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
388,12775,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0
391,11561,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
399,153,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
402,11880,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
415,11715,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
419,5110,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
420,5110,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
421,5070,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
425,350,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
428,11630,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
436,11956,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
439,10381,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
451,11640,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
451,11640,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
454,11707,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
454,11707,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
461,5038,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
463,11684,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
467,11957,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
468,11868,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
469,4722,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
474,10215,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
475,5127,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
478,5018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
488,11944,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
488,11944,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
489,5022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
490,11938,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
491,5060,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
493,4719,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
493,4719,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
499,127,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
502,14276,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
503,4677,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
508,11693,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
518,11964,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
520,11843,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
527,11982,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
530,14321,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
534,5161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
